post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
,,,,,,,,,,,
"10,159,496,642,145,600.00",Beautiful shared Apartment 3 BD  one room is available. Please contact Jacob 0539307242,Beautiful shared Apartment 3 BD  one room is available for 2200 Please contact Jacob 0539307242,,,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p320x320/117877424_10224172541080722_4049249950196405536_n.jpg?_nc_cat=110&_nc_sid=ca434c&_nc_ohc=9Jk0ZriHZ-EAX921Tog&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=f6757cc86172598a0829f605ef2c4580&oe=5F5F8517,,0,0,0,,
,,,,,,,,,,,
"10,159,491,436,815,600.00","A 3 rooms apartment available for rent in Merkaz Hacarmel, starting 1.9.2020 (Not from a Realtor):
Quiet,spacious, sun-lit, surrounded with green wild-life and furnished. Both bedroom has air-conditions. Gigantic living room, sun balcony and 2 closed balconies, Sea view, direct access to Siah nature park and with Public transportation, supermarket, Pub and Coffee shop close by.
AddressL: 7 Kadima st. Haifa
Rent: 1,800 NIS/ Month per renter (Or 3,600 for both bedrooms).
Please contact Me (Ariel: 0549-474160) to come and visit (Under Corona limits)! (:","A 3 rooms apartment available for rent in Merkaz Hacarmel, starting 1.9.2020 (Not from a Realtor):
Quiet,spacious, sun-lit, surrounded with green wild-life and furnished. Both bedroom has air-conditions. Gigantic living room, sun balcony and 2 closed balconies, Sea view, direct access to Siah nature park and with Public transportation, supermarket, Pub and Coffee shop close by.
AddressL: 7 Kadima st. Haifa
Rent: 1,800 NIS/ Month per renter (Or 3,600 for both bedrooms).
Please contact Me (Ariel: 0549-474160) to come and visit (Under Corona limits)! (:",,,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p160x160/117709788_10220080547417817_5336624861402241655_o.jpg?_nc_cat=103&_nc_sid=07e735&_nc_ohc=ahyragDdXpYAX8BxR8_&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=8676e05248275d849a750461ed31da7c&oe=5F5F531C,,0,1,0,,
,,,,,,,,,,,
"10,159,487,611,460,600.00","Furnished room in a 2.5-bedroom flat in Ramban st (right under Hana Szenes). Quiet neighbourhood, hardly any traffic in the street. 1st floor of a 3-storeyed block of 7 households. 5 bus lines within 5-minutes' walk. Aired from 3 directions, spacious glazed balcony, utility balcony, a large pantry (potential study). Well-equipped kitchen with an economical washing machine. Available from 28 August. Only ₪1500 all-inclusive provided you move in before 15 September
055-5537234","Furnished room in a 2.5-bedroom flat in Ramban st (right under Hana Szenes). Quiet neighbourhood, hardly any traffic in the street. 1st floor of a 3-storeyed block of 7 households. 5 bus lines within 5-minutes' walk. Aired from 3 directions, spacious glazed balcony, utility balcony, a large pantry (potential study). Well-equipped kitchen with an economical washing machine. Available from 28 August. Only ₪1500 all-inclusive provided you move in before 15 September
055-5537234",,,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p160x160/117592617_1819016614902992_7116186301390609384_o.jpg?_nc_cat=105&_nc_sid=07e735&_nc_ohc=K7nqU-EsOjwAX_7UpqL&_nc_ht=scontent.fhfa1-2.fna&tp=3&oh=5863964333e76001cc3abdba21069383&oe=5F5EFEEE,,0,0,0,,
,,,,,,,,,,,
"10,159,486,872,820,600.00","Ilit Dali‎דירות לסטודנטים חיפה
July 27 at 1:40 PM ·",,"Ilit Dali‎דירות לסטודנטים חיפה
July 27 at 1:40 PM ·",,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/s280x280/116153896_3594956260531702_4946443230989922993_o.jpg?_nc_cat=107&_nc_sid=07e735&_nc_ohc=B0Xz5NSgRRUAX9JHkQn&_nc_ht=scontent.fhfa1-2.fna&tp=9&oh=b73558344c155f53e143da17954f4894&oe=5F5FD16F,,0,0,0,,
,,,,,,,,,,,
"10,159,484,340,455,600.00","Very nice 2 bedroom apartment for rent from 1st September at NIS 2,800 per month. Located on 34 International street, Ramot Remez. Walking distance from Technion and very close to the University. Each bedroom is fully furnished – double bed, closet, desk, ensuite bathroom. Living room and kitchen fully furnished as well.
For more details, please call 054-4900812 or email me grossman.nurit@gmail.com","Very nice 2 bedroom apartment for rent from 1st September at NIS 2,800 per month. Located on 34 International street, Ramot Remez. Walking distance from Technion and very close to the University. Each bedroom is fully furnished – double bed, closet, desk, ensuite bathroom. Living room and kitchen fully furnished as well.
For more details, please call 054-4900812 or email me grossman.nurit@gmail.com",,,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/s280x280/117595881_3509481085752064_217194603181591382_o.jpg?_nc_cat=108&_nc_sid=07e735&_nc_ohc=5Zjan6J86JoAX_79lWt&_nc_ht=scontent.fhfa1-2.fna&tp=9&oh=29d8cf62113d728cb9858ab51cd254ea&oe=5F5F398F,,0,0,0,,
,,,,,,,,,,,
"10,159,478,353,435,600.00","Midori Intrator‎Secret Haifa
August 8 at 3:23 PM ·
Coffee table with small drawer
Measuring 149 x 49 x 43 cm
Pick up only - Kiryat Eliyezer",,"Midori Intrator‎Secret Haifa
August 8 at 3:23 PM ·
Coffee table with small drawer
Measuring 149 x 49 x 43 cm
Pick up only - Kiryat Eliyezer",,,,0,0,0,,
,,,,,,,,,,,
